a;a1.2;a1.3;a2.2;a2.3;b1.2;b1.3;b2.2;b2.3;c1.2;c1.3;d1.2;d1.3;e1.2;e1.3;f1.2;f2.3;f3.3;g1.2;g2.3
1.5;15.5;13.5;15.5;13;17.5;15.5;16.5;15;19.5;17.5;18.5;15.5;22;18.5;0;0;0;0;0
2.5;19.5;18;18.5;17.5;24;21;23;20;27;24;25;21;30;25;0;0;0;0;0
4;26;24;25;23;32;28;30;27;36;32;32;27;40;34;0;0;0;0;0
6;34;31;32;29;41;36;38;34;46;41;40;34;51;43;0;0;0;0;0
10;46;42;43;39;57;50;52;46;63;57;54;45;70;60;0;0;0;0;0
16;61;56;57;52;76;68;69;62;85;76;69;59;94;80;0;0;0;0;0
25;80;73;75;68;101;89;90;80;112;96;88;76;119;101;131;114;110;146;130
35;99;89;92;83;125;110;111;99;138;119;106;91;148;126;162;143;137;181;162
50;119;108;110;99;151;134;133;118;168;144;126;108;180;153;196;174;167;219;197
70;151;136;139;125;192;171;168;149;213;184;156;133;232;196;251;225;216;281;254
95;182;164;167;150;232;207;201;179;258;223;184;161;282;238;304;275;264;341;311
120;210;188;192;172;269;239;232;206;299;259;209;183;328;276;352;321;308;396;362
150;240;216;219;196;0;0;0;0;344;299;236;205;379;319;406;372;356;456;419
185;273;245;248;223;0;0;0;0;392;341;265;231;434;364;463;427;409;521;480
240;320;286;291;261;0;0;0;0;461;403;307;266;514;430;546;507;485;615;569
300;367;328;334;298;0;0;0;0;530;464;347;298;593;497;629;587;561;709;659
400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;754;689;656;852;795
500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;868;789;749;982;920
630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1005;905;855;1138;1070
